0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:31 +0900] "GET /controller/resources/mvImage/12.jpg HTTP/1.1" 200 188594
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:35 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:35 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:35 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:37 +0900] "GET /controller/board/boardList.do HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:37 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:41:44 +0900] "GET /controller/member/joinForm.do HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:41:44 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:43:59 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:43:59 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:43:59 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:39 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:39 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 7867
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:39 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:45 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:56 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:56 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 7867
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:56 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:57 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:57 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:45:57 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 7867
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/image/logo.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/image/myinfo.png HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/image/login.png HTTP/1.1" 200 10137
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/image/callcenter.png HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/image/register.png HTTP/1.1" 200 32237
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/js/movie.js HTTP/1.1" 200 6324
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/image/search.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/banner/banner2.jpg HTTP/1.1" 200 115101
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/banner/banner3.jpg HTTP/1.1" 200 123519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/banner/banner1.jpg HTTP/1.1" 200 588800
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/mvImage/2.jpg HTTP/1.1" 200 63561
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/image/star2.png HTTP/1.1" 200 36617
